第39表 死亡数，選択死因分類・保健所・市町村別,02_死亡総数,03_結核Ｓｅ01,04_悪性新生物Ｓｅ02,05_胃の悪性新生物（再掲）Ｓｅ04,06_糖尿病Ｓｅ14,07_心疾患（高血圧性を除く）Ｓｅ16,08_脳血管疾患Ｓｅ21,09_肺炎Ｓｅ26,10_老衰Ｓｅ31,11_不慮の事故Ｓｅ32,12_平成25年交通事故（再掲）Ｓｅ33,13_自殺Ｓｅ34
遠別町,39,0,9,0,0,2,3,4,7,1,0,2
天塩町,60,0,15,3,0,9,6,12,1,0,0,2
鷹栖町,84,0,28,5,1,15,7,7,5,2,0,1
東神楽町,106,0,29,5,0,12,9,18,7,7,0,4
当麻町,90,0,23,4,1,15,8,13,5,5,1,2
比布町,64,0,15,0,0,13,3,11,1,2,0,0
愛別町,58,0,15,5,2,8,8,3,5,2,0,2
上川町,69,0,24,5,0,12,8,5,3,1,0,0
東川町,102,0,30,4,0,14,8,17,4,1,0,2
美瑛町,143,1,48,5,1,22,8,13,6,10,1,1
幌加内町,24,0,5,0,1,5,4,1,1,1,0,0
