第81表 医療施設数および率（人口10万対），施設の種類・保健所・市町村別,02_実数病院総数,03_精神科病院,04_一般病院,05_療養病床を有する病院（再掲）,06_一般診療所総数,07_有床,08_療養病床を有する診療所(再掲),09_無床,10_歯科診療所,11_率（人口１０万対）病院総数,12_精神科病院,13_一般病院,14_療養病床を有する病院（再掲）,15_一般診療所総数,16_有床,17_平成26年10月１日現在療養病床を有する診療所(再掲),18_無床,19_歯科診療所
本別町,1,,1,,4,1,,3,4,13.2,,13.2,,52.7,13.2,,39.5,52.7
足寄町,1,,1,,3,,,3,3,14.0,,14.0,,41.9,,,41.9,41.9
陸別町,,,,,4,1,,3,1,,,,,160.0,40.0,,120.0,40.0
浦幌町,,,,,5,,1,4,2,,,,,99.4,,19.9,79.5,39.8
釧路市,17,2,15,8,82,8,2,72,95,9.8,1.1,8.6,4.6,47.1,4.6,1.1,41.4,54.6
釧路町,,,,,10,1,,9,9,,,,,50.3,5.0,,45.3,45.3
厚岸町,1,,1,,2,,,2,5,10.1,,10.1,,20.3,,,20.3,50.7
浜中町,,,,,3,,1,2,2,,,,,49.3,,16.4,32.9,32.9
標茶町,1,,1,,1,,,1,4,12.8,,12.8,,12.8,,,12.8,51.3
弟子屈町,2,,2,2,5,,,5,3,25.5,,25.5,25.5,63.8,,,63.8,38.3
鶴居村,1,,1,1,1,,,1,1,38.8,,38.8,38.8,38.8,,,38.8,38.8
白糠町,,,,,6,,,6,6,,,,,71.9,,,71.9,71.9
根室市,3,2,1,,8,1,,7,13,11.1,7.4,3.7,,29.5,3.7,,25.8,47.9
別海町,1,,1,,6,1,,5,4,6.6,,6.6,,39.4,6.6,,32.8,26.3
中標津町,2,,2,2,8,1,,7,10,8.4,,8.4,8.4,33.5,4.2,,29.3,41.9
標津町,1,,1,,1,,,1,2,18.9,,18.9,,18.9,,,18.9,37.8
羅臼町,,,,,2,1,,1,2,,,,,36.4,18.2,,18.2,36.4
網走市,5,1,4,2,16,3,,13,16,12.8,2.6,10.3,5.1,41.0,7.7,,33.4,41.0
斜里町,1,,1,1,3,,,3,5,8.1,,8.1,8.1,24.2,,,24.2,40.4
清里町,,,,,2,1,,1,2,,,,,46.3,23.1,,23.1,46.3
小清水町,1,,1,1,1,,,1,1,19.5,,19.5,19.5,19.5,,,19.5,19.5
大空町,1,,1,1,3,,,3,4,13.4,,13.4,13.4,40.1,,,40.1,53.5
北見市,14,2,12,6,67,11,4,52,54,11.5,1.6,9.8,4.9,55.0,9.0,3.3,42.7,44.3
美幌町,2,,2,1,11,1,,10,11,9.8,,9.8,4.9,53.6,4.9,,48.8,53.6
津別町,1,,1,1,1,,,1,2,19.5,,19.5,19.5,19.5,,,19.5,39.1
訓子府町,,,,,2,1,,1,2,,,,,39.0,19.5,,19.5,39.0
置戸町,1,,1,1,1,,,1,1,31.6,,31.6,31.6,31.6,,,31.6,31.6
紋別市,5,,5,3,8,2,,6,11,21.7,,21.7,13.0,34.7,8.7,,26.0,47.7
佐呂間町,,,,,2,,1,1,3,,,,,37.3,,18.7,18.7,56.0
遠軽町,4,,4,4,9,1,,8,10,18.8,,18.8,18.8,42.4,4.7,,37.7,47.1
湧別町,1,,1,,3,,,3,3,10.9,,10.9,,32.8,,,32.8,32.8
滝上町,1,,1,1,2,,,2,1,36.1,,36.1,36.1,72.2,,,72.2,36.1
興部町,1,,1,1,,,,,2,25.2,,25.2,25.2,,,,,50.4
西興部村,,,,,2,,,2,1,,,,,175.4,,,175.4,87.7
雄武町,1,,1,,2,,,2,2,22.5,,22.5,,44.9,,,44.9,44.9
稚内市,3,,3,2,16,1,,15,14,8.1,,8.1,5.4,43.3,2.7,,40.6,37.9
猿払村,1,,1,1,3,,,3,1,38.2,,38.2,38.2,114.5,,,114.5,38.2
浜頓別町,1,,1,1,2,,,2,2,26.5,,26.5,26.5,52.9,,,52.9,52.9
中頓別町,1,,1,,3,,,3,1,54.3,,54.3,,163.0,,,163.0,54.3
枝幸町,1,,1,1,5,,,5,4,11.8,,11.8,11.8,58.8,,,58.8,47.1
豊富町,1,,1,,2,,,2,2,24.4,,24.4,,48.9,,,48.9,48.9
礼文町,,,,,3,1,,2,2,,,,,109.1,36.4,,72.7,72.7
利尻町,1,,1,,1,,,1,2,42.6,,42.6,,42.6,,,42.6,85.1
利尻富士町,,,,,3,,,3,2,,,,,106.8,,,106.8,71.2
幌延町,,,,,4,,1,3,1,,,,,158.1,,39.5,118.6,39.5
留萌市,3,1,2,2,16,3,,13,15,13.4,4.5,8.9,8.9,71.3,13.4,,58.0,66.9
増毛町,,,,,5,1,,4,2,,,,,107.8,21.6,,86.2,43.1
小平町,,,,,3,,,3,2,,,,,88.8,,,88.8,59.2
苫前町,,,,,3,,,3,2,,,,,88.2,,,88.2,58.8
羽幌町,2,,2,1,4,,,4,4,27.1,,27.1,13.6,54.2,,,54.2,54.2
初山別村,,,,,4,,,4,1,,,,,322.6,,,322.6,80.6
遠別町,1,,1,1,1,,,1,1,35.2,,35.2,35.2,35.2,,,35.2,35.2
天塩町,1,,1,1,2,,,2,2,29.3,,29.3,29.3,58.7,,,58.7,58.7
鷹栖町,,,,,3,1,,2,2,,,,,42.4,14.1,,28.2,28.2
東神楽町,1,1,,,4,,,4,3,10.1,10.1,,,40.3,,,40.3,30.2
当麻町,,,,,4,,,4,3,,,,,59.4,,,59.4,44.6
比布町,,,,,3,,1,2,2,,,,,78.5,,26.2,52.4,52.4
愛別町,,,,,2,,1,1,1,,,,,66.4,,33.2,33.2,33.2
上川町,,,,,3,1,,2,3,,,,,71.6,23.9,,47.7,71.6
東川町,,,,,3,1,,2,3,,,,,38.3,12.8,,25.5,38.3
美瑛町,1,,1,,3,,,3,4,9.5,,9.5,,28.4,,,28.4,37.8
幌加内町,1,,1,1,4,,,4,1,63.3,,63.3,63.3,253.2,,,253.2,63.3
