第64表 医師・歯科医師・薬剤師数および率（人口10万対），従業地による保健所・市町村別,03_総数,04_医師医療施設の従事者,05_医療施設以外の従事者,06_その他,07_総数,08_歯科医師医療施設の従事者,09_医療施設以外の従事者,10_その他,11_総数,12_薬剤師薬局の従事者,13_病院・診療所の従事者,14_大学の従事者,15_医薬品関係従事者,16_衛生行政・保健衛生従事者,17_その他,18_平成２６年末現在率(人口１０万対）医師,19_歯科医師,20_薬剤師,24_人口,25_医師,26_歯科医師,27_薬剤師
釧路町,9,8,1,0,10,10,0,0,21,19,0,0,2,0,0,45.3,50.3,105.7,19870,45.3,50.3,105.7
厚岸町,6,6,0,0,4,4,0,0,10,9,1,0,0,0,0,60.8,40.5,101.3,9870,60.8,40.5,101.3
浜中町,2,2,0,0,5,4,0,1,2,2,0,0,0,0,0,32.9,82.2,32.9,6080,32.9,82.2,32.9
標茶町,2,2,0,0,4,4,0,0,4,3,1,0,0,0,0,25.6,51.3,51.3,7800,25.6,51.3,51.3
弟子屈町,8,8,0,0,3,2,0,1,8,5,3,0,0,0,0,102,38.3,102,7840,102,38.3,102
鶴居村,5,4,1,0,1,1,0,0,1,0,1,0,0,0,0,193.8,38.8,38.8,2580,193.8,38.8,38.8
白糠町,4,4,0,0,7,7,0,0,6,6,0,0,0,0,0,48,83.9,71.9,8340,48,83.9,71.9
根室市,33,30,3,0,14,14,0,0,23,14,5,0,1,3,0,121.6,51.6,84.8,27130,121.6,51.6,84.8
別海町,12,12,0,0,5,5,0,0,10,7,3,0,0,0,0,78.8,32.8,65.7,15230,78.8,32.8,65.7
中標津町,33,33,0,0,12,12,0,0,30,20,7,0,1,1,1,138.2,50.3,125.6,23880,138.2,50.3,125.6
標津町,4,4,0,0,3,3,0,0,4,3,1,0,0,0,0,75.6,56.7,75.6,5290,75.6,56.7,75.6
羅臼町,1,1,0,0,3,3,0,0,1,1,0,0,0,0,0,18.2,54.5,18.2,5500,18.2,54.5,18.2
網走市,64,61,3,0,18,18,0,0,51,24,22,0,1,2,2,164.2,46.2,130.8,38980,164.2,46.2,130.8
斜里町,7,7,0,0,4,4,0,0,8,4,4,0,0,0,0,56.5,32.3,64.6,12390,56.5,32.3,64.6
清里町,2,1,1,0,2,2,0,0,3,3,0,0,0,0,0,46.3,46.3,69.4,4320,46.3,46.3,69.4
小清水町,2,2,0,0,1,1,0,0,8,5,3,0,0,0,0,39.1,19.5,156.2,5120,39.1,19.5,156.2
大空町,4,4,0,0,5,5,0,0,3,2,1,0,0,0,0,53.5,66.8,40.1,7480,53.5,66.8,40.1
